act,date,time,location,location_dress
Dale Watson with Halden Wofford & The Hi Beams,"Thursday, July 25, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Kinky with iZCALLi Presented by FirstBank in conjunction with Indie 102.3 FM,"Friday, July 26, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Lyrics Born with Boss Eagle,"Saturday, July 27, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Reverend Peyton's Big Damn Band with Ryan Chrys & The Rough Cuts and Tracksuit Wedding,"Thursday, August 1, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Levitt National Tour Presents: Flor de Toloache with Flamenco Denver,"Friday, August 2, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Reverend Horton Heat with The Delta Bombers and Lincoln Durham Presented by Indie 102.3 FM,"Sunday, August 4, 2019",3:00 PM 8:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Slim Cessna's Auto Club with Lost Walks Presented by Indie 102.3 FM,"Thursday, August 8, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Passafire with Of Good Nature,"Friday, August 9, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
The Mother Hips with Grant Farm,"Saturday, August 10, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Eilen Jewell with Canyon Kids,"Thursday, August 15, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Celso Piña with Pato Machete Presented by FirstBank,"Friday, August 16, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Backyard Party with Dirty Dozen Brass Band and Slim Wednesday,"Saturday, August 17, 2019",5:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
The Brothers Comatose with Jalan Crossland,"Sunday, August 18, 2019",4:00 PM 8:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
The Yawpers with CITRA Presented by Indie 102.3 FM,"Thursday, August 22, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Fiesta CO Dance Company with Mariachi Sol de mi Tierra,"Friday, August 23, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Zion I with Kind Dub and DJ Cavem Moetavation,"Saturday, August 24, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Wild Rivers with The Copper Children,"Thursday, August 29, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Dessa with MONAKR Presented by Indie 102.3 FM,"Friday, August 30, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Authority Zero with No Bueno!,"Saturday, August 31, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Grupo Fantasma with ATOMGA Presented by Indie 102.3 FM,"Sunday, September 1, 2019",4:00 PM 8:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Marcus Rezaks' Shred is Dead w/Allen Aucoin (The Disco Biscuits) with TULA,"Friday, September 6, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
"Indian Country Colorado, a A Native Celebration of Art and Music with Special Guests Redbone and Cary Morin","Saturday, September 7, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Face Vocal Band with Freda Flecher,"Sunday, September 8, 2019",4:00 PM 8:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Tnertle with LYFTD and Chewy&Bach,"Friday, September 13, 2019",5:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Low Cut Connie with Christopher the Conquered Presented by Indie 102.3 FM,"Saturday, September 14, 2019",6:00 PM 10:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
Black Joe Lewis & The Honeybears with Robbie Peoples,"Sunday, September 15, 2019",4:00 PM 8:00 PM,Levitt Pavilion Denver,"1380 West Florida Avenue Denver, CO, 80223 United States (map)"
